Candidate,Date,Headline,Snippet,Headline_Cleaned,Snippet_Cleaned,Headline_Keywords,Headline_Stopwords,Headline_Tokens,Snippet_Keywords,Snippet_Stopwords,Snippet_Tokens,Sentiment_Values,Sentiment,Snippet_Sentiment_Values,Snippet_Sentiment,Headline_polarity,Snippet_polarity
trump,2016-10-02,Alicia Machado vs. Donald Trump’s Machismo,"For the former Miss Universe from beauty pageant-crazy Venezuela, sexism and fat-shaming would be all too familiar.",Alicia Machado vs Donald Trump’s Machismo,"For the former Miss Universe from beauty pageant-crazy Venezuela, sexism and fat-shaming would be all too familiar","Alicia, Machado, vs, Donald, Trump, Machismo",’s,"Alicia, Machado, vs, Donald, Trump, ’s, Machismo","Miss, Universe, beauty, pageant, -, crazy, Venezuela, ,, sexism, fat, -, shaming, familiar","For, the, former, from, and, would, be, all, too","For, the, former, Miss, Universe, from, beauty, pageant, -, crazy, Venezuela, ,, sexism, and, fat, -, shaming, would, be, all, too, familiar","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.078, 'neu': 0.735, 'pos': 0.186, 'compound': 0.4939}]",neu,0.0,0.4939
trump,2016-10-02,Donald Trump’s Taxes,Donald Trump has continued to decline to release his tax returns despite mounting pressure from both Democrats and Republicans. A look at some of the explanations for keeping his taxes private.,Donald Trump’s Taxes,Donald Trump has continued to decline to release his tax returns despite mounting pressure from both Democrats and Republicans A look at some of the explanations for keeping his taxes private,"Donald, Trump, Taxes",’s,"Donald, Trump, ’s, Taxes","Donald, Trump, continued, decline, release, tax, returns, despite, mounting, pressure, Democrats, Republicans, look, explanations, keeping, taxes, private","has, to, to, his, from, both, and, A, at, some, of, the, for, his","Donald, Trump, has, continued, to, decline, to, release, his, tax, returns, despite, mounting, pressure, from, both, Democrats, and, Republicans, A, look, at, some, of, the, explanations, for, keeping, his, taxes, private","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.2235}]",neu,0.0,0.2235
trump,2016-10-02,Trump’s Tax Records,The New York Times obtained records from 1995 showing that Donald J. Trump declared a $916 million loss. The figure is so substantial that it could have allowed him to legally avoid paying federal income tax for 18 years.,Trump’s Tax Records,The New York Times obtained records from 1995 showing that Donald J Trump declared a $916 million loss The figure is so substantial that it could have allowed him to legally avoid paying federal income tax for 18 years,"Trump, Tax, Records",’s,"Trump, ’s, Tax, Records","New, York, Times, obtained, records, 1995, showing, Donald, J, Trump, declared, $, 916, million, loss, figure, substantial, allowed, legally, avoid, paying, federal, income, tax, 18, years","The, from, that, a, The, is, so, that, it, could, have, him, to, for","The, New, York, Times, obtained, records, from, 1995, showing, that, Donald, J, Trump, declared, a, $, 916, million, loss, The, figure, is, so, substantial, that, it, could, have, allowed, him, to, legally, avoid, paying, federal, income, tax, for, 18, years","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.106, 'neu': 0.804, 'pos': 0.089, 'compound': -0.1861}]",neu,0.0,-0.1861
trump,2016-10-02,Donald Trump Criticizes Hillary Clinton,"At a rally on Saturday in Pennsylvania, as his tax records were being released, Mr. Trump mocked Mrs. Clinton’s bout of pneumonia and warned the audience about possible voter fraud.",Donald Trump Criticizes Hillary Clinton,"At a rally on Saturday in Pennsylvania, as his tax records were being released, Mr Trump mocked Mrs Clinton’s bout of pneumonia and warned the audience about possible voter fraud","Donald, Trump, Criticizes, Hillary, Clinton",,"Donald, Trump, Criticizes, Hillary, Clinton","rally, Saturday, Pennsylvania, ,, tax, records, released, ,, Mr, Trump, mocked, Mrs, Clinton, bout, pneumonia, warned, audience, possible, voter, fraud","At, a, on, in, as, his, were, being, ’s, of, and, the, about","At, a, rally, on, Saturday, in, Pennsylvania, ,, as, his, tax, records, were, being, released, ,, Mr, Trump, mocked, Mrs, Clinton, ’s, bout, of, pneumonia, and, warned, the, audience, about, possible, voter, fraud","[{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.34}]",neu,"[{'neg': 0.24, 'neu': 0.76, 'pos': 0.0, 'compound': -0.802}]",neu,-0.34,-0.802
trump,2016-10-02,How Donald Trump Turned the Tax Code Into a Giant Tax Shelter,"If Mr. Trump’s pattern of generating losses and using them to offset other income has continued, as seems likely, it’s obvious why he has not released his tax returns: because he hasn’t paid any taxes.",How Donald Trump Turned the Tax Code Into a Giant Tax Shelter,"If Mr Trump’s pattern of generating losses and using them to offset other income has continued, as seems likely, it’s obvious why he has not released his tax returns: because he hasn’t paid any taxes","Donald, Trump, Turned, Tax, Code, Giant, Tax, Shelter","How, the, Into, a","How, Donald, Trump, Turned, the, Tax, Code, Into, a, Giant, Tax, Shelter","Mr, Trump, pattern, generating, losses, offset, income, continued, ,, likely, ,, obvious, released, tax, returns, :, paid, taxes","If, ’s, of, and, using, them, to, other, has, as, seems, it, ’s, why, he, has, not, his, because, he, has, n’t, any","If, Mr, Trump, ’s, pattern, of, generating, losses, and, using, them, to, offset, other, income, has, continued, ,, as, seems, likely, ,, it, ’s, obvious, why, he, has, not, released, his, tax, returns, :, because, he, has, n’t, paid, any, taxes","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.074, 'neu': 0.926, 'pos': 0.0, 'compound': -0.4019}]",neu,0.0,-0.4019
trump,2016-10-02,Donald Trump’s Taxes: What We Know and Don’t Know,"In the absence of any disclosures from Mr. Trump, The New York Times and other news outlets have attempted to fill in the gaps.",Donald Trump’s Taxes: What We Know and Don’t Know,"In the absence of any disclosures from Mr Trump, The New York Times and other news outlets have attempted to fill in the gaps","Donald, Trump, Taxes, :, Know, Know","’s, What, We, and, Do, n’t","Donald, Trump, ’s, Taxes, :, What, We, Know, and, Do, n’t, Know","absence, disclosures, Mr, Trump, ,, New, York, Times, news, outlets, attempted, fill, gaps","In, the, of, any, from, The, and, other, have, to, in, the","In, the, absence, of, any, disclosures, from, Mr, Trump, ,, The, New, York, Times, and, other, news, outlets, have, attempted, to, fill, in, the, gaps","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
trump,2016-10-02,The Time I Found Donald Trump’s Tax Records in My Mailbox,A manila envelope led to old-style investigative journalism involving a meeting in a bagel shop and an IBM Selectric typewriter.,The Time I Found Donald Trump’s Tax Records in My Mailbox,A manila envelope led to old-style investigative journalism involving a meeting in a bagel shop and an IBM Selectric typewriter,"Time, Found, Donald, Trump, Tax, Records, Mailbox","The, I, ’s, in, My","The, Time, I, Found, Donald, Trump, ’s, Tax, Records, in, My, Mailbox","manila, envelope, led, old, -, style, investigative, journalism, involving, meeting, bagel, shop, IBM, Selectric, typewriter","A, to, a, in, a, and, an","A, manila, envelope, led, to, old, -, style, investigative, journalism, involving, a, meeting, in, a, bagel, shop, and, an, IBM, Selectric, typewriter","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
trump,2016-10-02,‘S.N.L.’ Begins a New Season With Alec Baldwin as Donald Trump,"Kate McKinnon returned as Hillary Clinton in the much-anticipated opening sketch, a parody of the first presidential debate.",‘S.N.L.’ Begins a New Season With Alec Baldwin as Donald Trump,"Kate McKinnon returned as Hillary Clinton in the much-anticipated opening sketch, a parody of the first presidential debate","‘, S.N.L., ’, Begins, New, Season, Alec, Baldwin, Donald, Trump","a, With, as","‘, S.N.L., ’, Begins, a, New, Season, With, Alec, Baldwin, as, Donald, Trump","Kate, McKinnon, returned, Hillary, Clinton, -, anticipated, opening, sketch, ,, parody, presidential, debate","as, in, the, much, a, of, the, first","Kate, McKinnon, returned, as, Hillary, Clinton, in, the, much, -, anticipated, opening, sketch, ,, a, parody, of, the, first, presidential, debate","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
trump,2016-10-02,"Donald Trump Tax Records Show He Could Have Avoided Taxes for Nearly Two Decades, The Times Found","The Republican nominee reported nearly $1 billion in losses in 1995, opening the door to tax avoidance in subsequent years.","Donald Trump Tax Records Show He Could Have Avoided Taxes for Nearly Two Decades, The Times Found","The Republican nominee reported nearly $1 billion in losses in 1995, opening the door to tax avoidance in subsequent years","Donald, Trump, Tax, Records, Avoided, Taxes, Nearly, Decades, ,, Times, Found","Show, He, Could, Have, for, Two, The","Donald, Trump, Tax, Records, Show, He, Could, Have, Avoided, Taxes, for, Nearly, Two, Decades, ,, The, Times, Found","Republican, nominee, reported, nearly, $, 1, billion, losses, 1995, ,, opening, door, tax, avoidance, subsequent, years","The, in, in, the, to, in","The, Republican, nominee, reported, nearly, $, 1, billion, in, losses, in, 1995, ,, opening, the, door, to, tax, avoidance, in, subsequent, years","[{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.34}]",neu,"[{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.6597}]",neu,-0.34,-0.6597
trump,2016-10-02,Donald Trump and His Allies Struggle to Move Past Tax Revelation,Mr. Trump’s campaign lurched between refusing to acknowledge that released 1995 tax records were bona fide to insisting that his not having paid taxes was evidence of his unrivaled business prowess.,Donald Trump and His Allies Struggle to Move Past Tax Revelation,Mr Trump’s campaign lurched between refusing to acknowledge that released 1995 tax records were bona fide to insisting that his not having paid taxes was evidence of his unrivaled business prowess,"Donald, Trump, Allies, Struggle, Past, Tax, Revelation","and, His, to, Move","Donald, Trump, and, His, Allies, Struggle, to, Move, Past, Tax, Revelation","Mr, Trump, campaign, lurched, refusing, acknowledge, released, 1995, tax, records, bona, fide, insisting, having, paid, taxes, evidence, unrivaled, business, prowess","’s, between, to, that, were, to, that, his, not, was, of, his","Mr, Trump, ’s, campaign, lurched, between, refusing, to, acknowledge, that, released, 1995, tax, records, were, bona, fide, to, insisting, that, his, not, having, paid, taxes, was, evidence, of, his, unrivaled, business, prowess","[{'neg': 0.187, 'neu': 0.813, 'pos': 0.0, 'compound': -0.3182}]",neu,"[{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.4019}]",neu,-0.3182,-0.4019
trump,2016-10-03,The Trump Possibility,It’s the last chance to prevent a lazy and limited man who lies and cheats and thinks he has “great genes” from demeaning the Oval Office.,The Trump Possibility,It’s the last chance to prevent a lazy and limited man who lies and cheats and thinks he has “great genes” from demeaning the Oval Office,"Trump, Possibility",The,"The, Trump, Possibility","chance, prevent, lazy, limited, man, lies, cheats, thinks, “, great, genes, ”, demeaning, Oval, Office","It, ’s, the, last, to, a, and, who, and, and, he, has, from, the","It, ’s, the, last, chance, to, prevent, a, lazy, and, limited, man, who, lies, and, cheats, and, thinks, he, has, “, great, genes, ”, from, demeaning, the, Oval, Office","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.312, 'neu': 0.592, 'pos': 0.097, 'compound': -0.7845}]",neu,0.0,-0.7845
trump,2016-10-03,Trump’s Fellow Travelers,Profiles in cowardice and fecklessness.,Trump’s Fellow Travelers,Profiles in cowardice and fecklessness,"Trump, Fellow, Travelers",’s,"Trump, ’s, Fellow, Travelers","Profiles, cowardice, fecklessness","in, and","Profiles, in, cowardice, and, fecklessness","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
trump,2016-10-03,Trump’s Tax (Avoidance) Plan,He is running for president partly to help more wealthy people be like him – and avoid paying taxes.,Trump’s Tax (Avoidance) Plan,He is running for president partly to help more wealthy people be like him – and avoid paying taxes,"Trump, Tax, (, Avoidance, ), Plan",’s,"Trump, ’s, Tax, (, Avoidance, ), Plan","running, president, partly, help, wealthy, people, like, –, avoid, paying, taxes","He, is, for, to, more, be, him, and","He, is, running, for, president, partly, to, help, more, wealthy, people, be, like, him, –, and, avoid, paying, taxes","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.092, 'neu': 0.585, 'pos': 0.323, 'compound': 0.672}]",compound,0.0,0.672
trump,2016-10-03,Trump Defends Tax Payments,"Donald J. Trump said at a campaign rally in Pueblo, Colo., that he had used the country's tax laws to his benefit “as legally required” and hated the way the current administration spends tax dollars.",Trump Defends Tax Payments,"Donald J Trump said at a campaign rally in Pueblo, Colo., that he had used the country's tax laws to his benefit “as legally required” and hated the way the current administration spends tax dollars","Trump, Defends, Tax, Payments",,"Trump, Defends, Tax, Payments","Donald, J, Trump, said, campaign, rally, Pueblo, ,, Colo., ,, country, tax, laws, benefit, “, legally, required, ”, hated, way, current, administration, spends, tax, dollars","at, a, in, that, he, had, used, the, 's, to, his, as, and, the, the","Donald, J, Trump, said, at, a, campaign, rally, in, Pueblo, ,, Colo., ,, that, he, had, used, the, country, 's, tax, laws, to, his, benefit, “, as, legally, required, ”, and, hated, the, way, the, current, administration, spends, tax, dollars","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.106, 'neu': 0.783, 'pos': 0.111, 'compound': -0.2023}]",neu,0.0,-0.2023
trump,2016-10-03,James Stewart on Trump’s Taxes,The New York Times columnist says that the candidate must explain his nearly billion-dollar loss and what breaks in the tax code contributed to it.,James Stewart on Trump’s Taxes,The New York Times columnist says that the candidate must explain his nearly billion-dollar loss and what breaks in the tax code contributed to it,"James, Stewart, Trump, Taxes","on, ’s","James, Stewart, on, Trump, ’s, Taxes","New, York, Times, columnist, says, candidate, explain, nearly, billion, -, dollar, loss, breaks, tax, code, contributed","The, that, the, must, his, and, what, in, the, to, it","The, New, York, Times, columnist, says, that, the, candidate, must, explain, his, nearly, billion, -, dollar, loss, and, what, breaks, in, the, tax, code, contributed, to, it","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.087, 'neu': 0.913, 'pos': 0.0, 'compound': -0.3182}]",neu,0.0,-0.3182
trump,2016-10-03,Clinton Hits Trump on Taxes,"Hillary Clinton, responding to the New York Times article on Donald J. Trump’s 1995 tax return, told a rally in Toledo, Ohio, that there should be a law requiring major party nominees to release their taxes.",Clinton Hits Trump on Taxes,"Hillary Clinton, responding to the New York Times article on Donald J Trump’s 1995 tax return, told a rally in Toledo, Ohio, that there should be a law requiring major party nominees to release their taxes","Clinton, Hits, Trump, Taxes",on,"Clinton, Hits, Trump, on, Taxes","Hillary, Clinton, ,, responding, New, York, Times, article, Donald, J, Trump, 1995, tax, return, ,, told, rally, Toledo, ,, Ohio, ,, law, requiring, major, party, nominees, release, taxes","to, the, on, ’s, a, in, that, there, should, be, a, to, their","Hillary, Clinton, ,, responding, to, the, New, York, Times, article, on, Donald, J, Trump, ’s, 1995, tax, return, ,, told, a, rally, in, Toledo, ,, Ohio, ,, that, there, should, be, a, law, requiring, major, party, nominees, to, release, their, taxes","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.4019}]",neu,0.0,0.4019
trump,2016-10-03,Donald Trump Says a Strong Defense Against Cyberattacks Is Essential,"Cyberattacks from foreign governments “constitute one of our most critical national security concerns,” Mr. Trump told a group of military veterans in Virginia.",Donald Trump Says a Strong Defense Against Cyberattacks Is Essential,"Cyberattacks from foreign governments “constitute one of our most critical national security concerns,” Mr Trump told a group of military veterans in Virginia","Donald, Trump, Says, Strong, Defense, Cyberattacks, Essential","a, Against, Is","Donald, Trump, Says, a, Strong, Defense, Against, Cyberattacks, Is, Essential","Cyberattacks, foreign, governments, “, constitute, critical, national, security, concerns, ,, ”, Mr, Trump, told, group, military, veterans, Virginia","from, one, of, our, most, a, of, in","Cyberattacks, from, foreign, governments, “, constitute, one, of, our, most, critical, national, security, concerns, ,, ”, Mr, Trump, told, a, group, of, military, veterans, in, Virginia","[{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.5859}]",neu,"[{'neg': 0.103, 'neu': 0.792, 'pos': 0.105, 'compound': 0.0183}]",neu,0.5859,0.0183
trump,2016-10-03,Donald Trump: Terroristic Man-Toddler,He’s an immature bully who lashes out when he should be embarrassed.,Donald Trump: Terroristic Man-Toddler,He’s an immature bully who lashes out when he should be embarrassed,"Donald, Trump, :, Terroristic, Man, -, Toddler",,"Donald, Trump, :, Terroristic, Man, -, Toddler","immature, bully, lashes, embarrassed","He, ’s, an, who, out, when, he, should, be","He, ’s, an, immature, bully, who, lashes, out, when, he, should, be, embarrassed","[{'neg': 0.589, 'neu': 0.411, 'pos': 0.0, 'compound': -0.6486}]",neg,"[{'neg': 0.363, 'neu': 0.637, 'pos': 0.0, 'compound': -0.6908}]",neu,-0.6486,-0.6908
trump,2016-10-03,State Attorney General Orders Trump Foundation to Cease Raising Money in New York,"Eric T. Schneiderman, the attorney general, said a charities bureau had determined that the Donald J. Trump Foundation was not registered to solicit donations under state law.",State Attorney General Orders Trump Foundation to Cease Raising Money in New York,"Eric T Schneiderman, the attorney general, said a charities bureau had determined that the Donald J Trump Foundation was not registered to solicit donations under state law","State, Attorney, General, Orders, Trump, Foundation, Cease, Raising, Money, New, York","to, in","State, Attorney, General, Orders, Trump, Foundation, to, Cease, Raising, Money, in, New, York","Eric, T, Schneiderman, ,, attorney, general, ,, said, charities, bureau, determined, Donald, J, Trump, Foundation, registered, solicit, donations, state, law","the, a, had, that, the, was, not, to, under","Eric, T, Schneiderman, ,, the, attorney, general, ,, said, a, charities, bureau, had, determined, that, the, Donald, J, Trump, Foundation, was, not, registered, to, solicit, donations, under, state, law","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.6808}]",neu,0.0,0.6808
